Review Id,User Name,Review,Rating,Date of Review,reviewCreatedVersion
d9b83f81-4bec-446c-aec3-9c6e01a8885b,Patrik Rådman,"""Physical activity"" permission? Why?!",2,2023-02-13 11:55:53,4.4.23
14fad9b7-d7f5-4686-9a5a-7dff41dda083,Leonardo Navarro Ortega,"Sadly, this application crashes often. One would expect better from a security related thing. It seems to be unable to get the GPS position.",2,2023-02-11 14:14:12,4.4.23
fafc0abd-c072-4f0a-969b-fbcc2f9ed8ed,Jouko Tenhunen,"Sovellus on alkanut piippaamaan ja herättämään jopa keskellä yötä saadakseen lupia puhelimen capojen käyttämiseen (sijainti ym) vaikka asetukset on ""sallittu sovellusta käytettäessä."" Nyt joutuu forced closaamaan koko sovelluksen. Ymmärrän että on muutettu, koska Android nykyään poistaa itsestään capoja käyttämättömiltä sovelluksilta, mutta salliminen sovellusta käyttäessä pitäisi riittää.",3,2023-02-03 09:35:31,4.4.12
aa34cb13-8606-4d9e-b63f-f6b18fa81872,Eki Tee,Vanhemmalla versiolla kun soitti normaalisti puhelimella 112 (ilman tämän sovelluksen käynnistämistä) sai häke paikkatiedon jostain (ehkä tämä sovellus lähetti sen taustalla). Uusi versio kysyy paikkatieto lupaa koko ajan (tai Android päivityksen jälkeen Android on fiksumpi ja valvoo sovelluksia) -> käsittämätöntä että minun pitäisi lähettää paikkatieto sovelluksen tekijälle koko ajan -> on ok lähettää se silloin kun soitan 112. Pakko poistaa koska en halua saada tuota kyselys muutaman minuutin,1,2023-01-26 14:47:17,4.4.12
9ef64c7a-ecf5-44ca-be2c-94b59132f5b3,Timo Virtanen,App is costantly requesting permission for location. I have granted permission wwhile using app but I dont want it be tracking location on background. Now I get constant location requests and whats even worse I can not use the app unless i grant the permission because when i open the app request popup keeps popping over and over even if i press cancel thus making the app impossible to use.,2,2023-01-24 10:30:41,4.4.11
26b8886f-ec31-466b-8bc1-dc8530f033fe,Jarkko Räsänen,"Ohjelma pakottaa lähettämään sijaintitietoja taustalla. Minusta tämän ei tulisi olla pakollista. Jos on, tulisi vakuuttaa että sijaintitieto ei poistu laitteelta tavallisessa käytössä (hätäpuhelu ei ole tavallinen käyttö). Sijainnin perusteella voidaan filtteröidä tiedotteet myös laitteessa käsin eikä sen pitäisi vaatia sijainnin lähettämistä palvelimelle mahdollista tallennusta varten (henkilön vakoilu!).",2,2023-01-20 20:05:58,4.4.11
bae05787-a007-4e0b-9abd-f582a1a7b56c,Hyhb Hyhb,"Miten turhat liikennetiedotteet saa pois päältä (sohjoinem ajokeli ym. älyvapaat varoitukset) niin että oleelliset liikennetiedotteet säilyy päällä (kolari, tie tukossa)?",2,2023-01-19 12:41:27,4.3.3
a7b8bbf7-00af-4bb5-b7f3-94c7228439e0,Tommi Paananen,"Uusi versio kaatuu n. 30 sekunnin jälkeen, jos ei anna jatkuvaa lupaa paikannukseen vaan vain kun sovellus on käynnissä. Pitää olla nopea asioidessaan hätätilanteessa ennen kuin tuut tuut tuut...",1,2023-01-18 23:17:56,4.4.7
a18a22b3-2bd7-42f7-8f01-9e66539f66ff,FinnickF0x10,Olisi hyvä tuossa 112 soita -kohassa olla 3sek aikalaukaisu koska olen meinannut jo monta kertaa soittaa taskupuhelun hätäkeskukseen.,5,2023-01-18 16:30:50,4.3.3
ab34b22d-cddd-4dc8-ba6d-499784866de1,Axxount,"Parin vuoden aikana päässyt tätä käyttämään tieliikenteessä kahdesti. Molemmilla kerroilla hätäkeskus sai tarkan sijainnin missä ajan. Ekalla käyttökerralla yllätyksenä tuli miten paljon asetuksia tulee hyväksyä, jotta puhelun saa soitettua (sijainnin hyväksyntä, oman puhelinnumeron syöttö ja kolmantena täytyy hyväksyä, että sovellus saa siirtyä tekemään puhelun). Vaaraäänet selkeät ja käyttöliittymä sopivan yksinkertainen. Ns. ""turhia"" vaarailmoituksia en ole saanut asuinkunnan ulkopuolelta.",4,2023-01-18 16:21:01,4.4.7
